求人番号,職種,仕事の内容,賃金,就業時間,休日,年齢,就業場所,URL
13010-04717202,ＳＥ・開発,販売促進部開発課に所属して、下記の仕事をお願いします。・物流向けパッケージシステムの開発・要件定義・同システムのメンテナンス、カスタマイズ、問い合わせ対応,"233,500円〜350,000円",変形労働時間制,日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004717202&kJKbn=1&jGSHNo=s86Ce6ynof0DP%2BOw2eK2rA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-05220302,システムエンジニア／トライアル併用,・サーバーネットワークエンジニア、ヘルプデスク・プログラム開発（Ｊａｖａ、Ｃ♯等）,"180,000円〜300,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301005220302&kJKbn=1&jGSHNo=TRmfD6Lv%2FASgLmmnKo5hUA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-07538902,システムエンジニア,業務改善につながるシステム開発に関する下記の業務を担当いただきます。◆ＳＡＰ導入プロジェクトにおけるコンサルタント、システムエン,"220,000円〜620,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304007538902&kJKbn=1&jGSHNo=P%2BtdraLqJBF0KDZCOB6X%2FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13040-07542502,ＩＴコンサルタント,システム改修やアプリ改修に関する、下記のどちらかの業務を担当いただきます。１．ＳＡＰ導入プロジェクトにおける業務,"220,000円〜620,000円","										（1）09時00分〜18時00分
",土日祝,制限あり,東京都港区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1304007542502&kJKbn=1&jGSHNo=P%2BtdraLqJBF0KDZCOB6X%2FA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-72925901,【ＤＸ推進】ＤＸプロジェクトメンバー（マネージャー候補）,グループ戦略の実践に必要となる各種ＤＸプロジェクトの企画・検証・実践をＩＴ開発も含めてのプロジェクトマネジメント,"371,000円〜560,000円",フレックスタイム制,土日祝他,制限あり,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308072925901&kJKbn=1&jGSHNo=1zlLhHda4mcRrXJ9AaWgJA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13080-72993401,システムエンジニア・プログラマー／正社員,現場でコンピュータシステム、ソフトウェアの設計・開発・保守に関する仕事,"200,000円〜500,000円","										（1）09時00分〜18時00分
",土日祝,不問,東京都新宿区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1308072993401&kJKbn=1&jGSHNo=vgrlqoSoX0eLUWfpal8Clw%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13090-39450401,ＮＷ設計構築（飯田橋）,ＮＷ設計構築案件をご担当頂きます。単独で案件を進めていけるような３名チームのリーダー候補のポジションになります。,"300,000円〜400,000円","										（1）09時00分〜18時00分
",土日祝他,不問,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1309039450401&kJKbn=1&jGSHNo=TjhxT%2FdiSnmNMF%2FegoUYxA%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04134202,【金融系データ分析業務】,人事データや店舗売上などのデータの抽出・分析を行い資料を作成します。営業部門や経営企画等に使用するデータの加工・分析を行う作業で,"230,000円〜380,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004134202&kJKbn=1&jGSHNo=xS78072%2FUGUchkl70Y703w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04204402,ＣＯＢＯＬプログラマー、ＳＥ／正社員／生保、ＩＢＭ汎用機,ＩＢＭ汎用機を使用した、ＣＯＢＯＬやＰＬ／Ｉによる業務アプリケーションの設計及び開発をして頂きます。開発案件は、生保の数理システム、請求収納システム等です。,"249,000円〜450,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都千代田区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004204402&kJKbn=1&jGSHNo=kSqJ1vviRy%2F6uZ32vjdtMQ%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
13010-04319402,Ａｚｕｒｅ製品導入支援＜設計・構築＞,Ａｚｕｒｅ製品の導入支援を行っていただきます。ＧＣＰを使ったインフラ設計・構築が主な業務になります。ＬｉｎｕｘまたはＷｉｎｄｏｗｓを用いたサーバー構築経験やブリ,"250,000円〜550,000円","										（1）09時00分〜18時00分
",土日祝他,制限あり,東京都中央区,https://www.hellowork.mhlw.go.jp/kensaku/GECA110010.do?screenId=GECA110010&action=dispDetailBtn&kJNo=1301004319402&kJKbn=1&jGSHNo=xS78072%2FUGUchkl70Y703w%3D%3D&fullPart=1&iNFTeikyoRiyoDtiID=&kSNo=&newArrived=&tatZngy=1&shogaiKbn=0
